Year,Period,PeriodNo,Price,Crop,ObjectId
2023,Weekly,1,363.3063,"Barley, #1CW",1
2023,Weekly,1,521.5,"Canola Meal, 34%, Altona",2
2023,Weekly,1,847.44824,"Canola, #1CR",3
2023,Weekly,1,361.39824,"Corn, #2",4
2023,Weekly,1,701.14408,"Flaxseed, #1CW",5
2023,Weekly,1,288.5469,"Oats, #2CW",6
2023,Weekly,1,445.70472,"Peas, #2 Yellow",7
2023,Weekly,1,715.40568,Soybeans,8
2023,Weekly,1,,"Soymeal, 46%, Wpg",9
2023,Weekly,1,410.43048,"Wheat, Northern Hard Red",10
2023,Weekly,1,418.14672,"Wheat, Red Winter",11
2023,Weekly,1,403.7726,"Wheat, Special Purpose (Low Vomi)",12
2023,Weekly,1,424.02576,"Wheat, Western Red Spring",13
2023,Weekly,2,346.3122,"Barley, #1CW",14
2023,Weekly,2,529,"Canola Meal, 34%, Altona",15
2023,Weekly,2,826.28408,"Canola, #1CR",16
2023,Weekly,2,357.85512,"Corn, #2",17
2023,Weekly,2,686.57792,"Flaxseed, #1CW",18
2023,Weekly,2,283.35954,"Oats, #2CW",19
2023,Weekly,2,443.50008,"Peas, #2 Yellow",20
2023,Weekly,2,709.1592,Soybeans,21
2023,Weekly,2,,"Soymeal, 46%, Wpg",22
2023,Weekly,2,415.2072,"Wheat, Northern Hard Red",23
2023,Weekly,2,416.67696,"Wheat, Red Winter",24
2023,Weekly,2,399.3638,"Wheat, Special Purpose (Low Vomi)",25
2023,Weekly,2,423.29088,"Wheat, Western Red Spring",26
2023,Weekly,3,356.8761,"Barley, #1CW",27
2023,Weekly,3,,"Canola Meal, 34%, Altona",28
2023,Weekly,3,814.37924,"Canola, #1CR",29
2023,Weekly,3,359.82352,"Corn, #2",30
2023,Weekly,3,686.57792,"Flaxseed, #1CW",31
2023,Weekly,3,292.43742,"Oats, #2CW",32
2023,Weekly,3,438.35592,"Peas, #2 Yellow",33
2023,Weekly,3,702.91272,Soybeans,34
2023,Weekly,3,,"Soymeal, 46%, Wpg",35
2023,Weekly,3,415.57464,"Wheat, Northern Hard Red",36
2023,Weekly,3,413.37,"Wheat, Red Winter",37
2023,Weekly,3,395.3224,"Wheat, Special Purpose (Low Vomi)",38
2023,Weekly,3,421.82112,"Wheat, Western Red Spring",39
2023,Weekly,4,359.6319,"Barley, #1CW",40
2023,Weekly,4,525,"Canola Meal, 34%, Altona",41
2023,Weekly,4,793.21508,"Canola, #1CR",42
2023,Weekly,4,365.72872,"Corn, #2",43
2023,Weekly,4,677.91696,"Flaxseed, #1CW",44
2023,Weekly,4,284.65638,"Oats, #2CW",45
2023,Weekly,4,437.62104,"Peas, #2 Yellow",46
2023,Weekly,4,691.15464,Soybeans,47
2023,Weekly,4,,"Soymeal, 46%, Wpg",48
2023,Weekly,4,416.67696,"Wheat, Northern Hard Red",49
2023,Weekly,4,409.32816,"Wheat, Red Winter",50
2023,Weekly,12,672.78264,Soybeans,51
2023,Weekly,12,,"Soymeal, 46%, Wpg",52
2023,Weekly,12,388.01664,"Wheat, Northern Hard Red",53
2023,Weekly,12,381.77016,"Wheat, Red Winter",54
2023,Weekly,12,379.8916,"Wheat, Special Purpose (Low Vomi)",55
2023,Weekly,12,403.08168,"Wheat, Western Red Spring",56
2023,Weekly,13,316.917,"Barley, #1CW",57
2023,Weekly,13,441.4,"Canola Meal, 34%, Altona",58
2023,Weekly,13,765.87804,"Canola, #1CR",59
2023,Weekly,13,355.49304,"Corn, #2",60
2023,Weekly,13,536.97952,"Flaxseed, #1CW",61
2023,Weekly,13,267.79746,"Oats, #2CW",62
2023,Weekly,13,401.24448,"Peas, #2 Yellow",63
2023,Weekly,13,683.4384,Soybeans,64
2023,Weekly,13,,"Soymeal, 46%, Wpg",65
2023,Weekly,13,401.24448,"Wheat, Northern Hard Red",66
2023,Weekly,13,384.70968,"Wheat, Red Winter",67
2023,Weekly,13,379.5242,"Wheat, Special Purpose (Low Vomi)",68
2023,Weekly,13,411.16536,"Wheat, Western Red Spring",69
2023,Weekly,14,313.7019,"Barley, #1CW",70
2023,Weekly,14,436.3,"Canola Meal, 34%, Altona",71
2023,Weekly,14,768.08264,"Canola, #1CR",72
2023,Weekly,14,349.98152,"Corn, #2",73
2023,Weekly,14,533.4364,"Flaxseed, #1CW",74
2023,Weekly,14,260.01642,"Oats, #2CW",75
2023,Weekly,14,397.20264,"Peas, #2 Yellow",76
2023,Weekly,14,681.23376,Soybeans,77
2023,Weekly,14,,"Soymeal, 46%, Wpg",78
2023,Weekly,14,393.89568,"Wheat, Northern Hard Red",79
2023,Weekly,14,382.1376,"Wheat, Red Winter",80
2023,Weekly,14,371.8088,"Wheat, Special Purpose (Low Vomi)",81
2023,Weekly,14,404.184,"Wheat, Western Red Spring",82
2023,Weekly,15,313.7019,"Barley, #1CW",83
2023,Weekly,15,439.9,"Canola Meal, 34%, Altona",84
2023,Weekly,15,754.41412,"Canola, #1CR",85
2023,Weekly,15,347.61944,"Corn, #2",86
2023,Weekly,15,533.4364,"Flaxseed, #1CW",87
2023,Weekly,15,269.0943,"Oats, #2CW",88
2023,Weekly,15,397.20264,"Peas, #2 Yellow",89
2023,Weekly,15,675.35472,Soybeans,90
2023,Weekly,15,,"Soymeal, 46%, Wpg",91
2023,Weekly,15,390.22128,"Wheat, Northern Hard Red",92
2023,Weekly,15,382.87248,"Wheat, Red Winter",93
2023,Weekly,15,370.7066,"Wheat, Special Purpose (Low Vomi)",94
2023,Weekly,15,394.998,"Wheat, Western Red Spring",95
2023,Weekly,16,315.9984,"Barley, #1CW",96
2023,Weekly,16,425.2,"Canola Meal, 34%, Altona",97
2023,Weekly,16,742.50928,"Canola, #1CR",98
2023,Weekly,16,351.94992,"Corn, #2",99
2023,Weekly,16,531.468,"Flaxseed, #1CW",100
2023,Weekly,8,407.8584,"Wheat, Northern Hard Red",101
2023,Weekly,8,391.69104,"Wheat, Red Winter",102
2023,Weekly,8,388.7092,"Wheat, Special Purpose (Low Vomi)",103
2023,Weekly,8,420.35136,"Wheat, Western Red Spring",104
2023,Weekly,9,331.6146,"Barley, #1CW",105
2023,Weekly,9,540,"Canola Meal, 34%, Altona",106
2023,Weekly,9,815.26108,"Canola, #1CR",107
2023,Weekly,9,350.76888,"Corn, #2",108
2023,Weekly,9,601.14936,"Flaxseed, #1CW",109
2023,Weekly,9,276.87534,"Oats, #2CW",110
2023,Weekly,9,429.9048,"Peas, #2 Yellow",111
2023,Weekly,9,710.26152,Soybeans,112
2023,Weekly,9,,"Soymeal, 46%, Wpg",113
2023,Weekly,9,405.65376,"Wheat, Northern Hard Red",114
2023,Weekly,9,390.95616,"Wheat, Red Winter",115
2023,Weekly,9,386.8722,"Wheat, Special Purpose (Low Vomi)",116
2023,Weekly,9,415.57464,"Wheat, Western Red Spring",117
2023,Weekly,10,328.3995,"Barley, #1CW",118
2023,Weekly,10,549,"Canola Meal, 34%, Altona",119
2023,Weekly,10,791.89232,"Canola, #1CR",120
2023,Weekly,10,345.25736,"Corn, #2",121
2023,Weekly,10,586.5832,"Flaxseed, #1CW",122
2023,Weekly,10,263.90694,"Oats, #2CW",123
2023,Weekly,10,426.2304,"Peas, #2 Yellow",124
2023,Weekly,10,713.93592,Soybeans,125
2023,Weekly,10,,"Soymeal, 46%, Wpg",126
2023,Weekly,10,386.17944,"Wheat, Northern Hard Red",127
2023,Weekly,10,380.3004,"Wheat, Red Winter",128
2023,Weekly,10,377.6872,"Wheat, Special Purpose (Low Vomi)",129
2023,Weekly,10,398.6724,"Wheat, Western Red Spring",130
2023,Weekly,11,319.6728,"Barley, #1CW",131
2023,Weekly,11,534,"Canola Meal, 34%, Altona",132
2023,Weekly,11,747.80032,"Canola, #1CR",133
2023,Weekly,11,346.4384,"Corn, #2",134
2023,Weekly,11,558.23824,"Flaxseed, #1CW",135
2023,Weekly,11,261.96168,"Oats, #2CW",136
2023,Weekly,11,418.8816,"Peas, #2 Yellow",137
2023,Weekly,11,701.44296,Soybeans,138
2023,Weekly,11,,"Soymeal, 46%, Wpg",139
2023,Weekly,11,395.73288,"Wheat, Northern Hard Red",140
2023,Weekly,11,379.19808,"Wheat, Red Winter",141
2023,Weekly,11,380.6264,"Wheat, Special Purpose (Low Vomi)",142
2023,Weekly,11,403.81656,"Wheat, Western Red Spring",143
2023,Weekly,12,318.2949,"Barley, #1CW",144
2023,Weekly,12,465,"Canola Meal, 34%, Altona",145
2023,Weekly,12,735.01364,"Canola, #1CR",146
2023,Weekly,12,350.76888,"Corn, #2",147
2023,Weekly,12,544.06576,"Flaxseed, #1CW",148
2023,Weekly,12,258.07116,"Oats, #2CW",149
2023,Weekly,12,404.184,"Peas, #2 Yellow",150
2023,Weekly,24,426,"Canola Meal, 34%, Altona",151
2023,Weekly,24,717.81776,"Canola, #1CR",152
2023,Weekly,24,347.61944,"Corn, #2",153
2023,Weekly,24,531.86168,"Flaxseed, #1CW",154
2023,Weekly,24,271.03956,"Oats, #2CW",155
2023,Weekly,24,355.68192,"Peas, #2 Yellow",156
2023,Weekly,24,601.86672,Soybeans,157
2023,Weekly,24,,"Soymeal, 46%, Wpg",158
2023,Weekly,24,377.72832,"Wheat, Northern Hard Red",159
2023,Weekly,24,365.97024,"Wheat, Red Winter",160
2023,Weekly,24,346.0908,"Wheat, Special Purpose (Low Vomi)",161
2023,Weekly,24,383.23992,"Wheat, Western Red Spring",162
2023,Weekly,25,321.51,"Barley, #1CW",163
2023,Weekly,25,430,"Canola Meal, 34%, Altona",164
2023,Weekly,25,721.78604,"Canola, #1CR",165
2023,Weekly,25,347.61944,"Corn, #2",166
2023,Weekly,25,538.16056,"Flaxseed, #1CW",167
2023,Weekly,25,272.98482,"Oats, #2CW",168
2023,Weekly,25,349.43544,"Peas, #2 Yellow",169
2023,Weekly,25,603.70392,Soybeans,170
2023,Weekly,25,,"Soymeal, 46%, Wpg",171
2023,Weekly,25,386.54688,"Wheat, Northern Hard Red",172
