,test,predictions
6788,178.57584,151.0647907
3604,182.52582,220.640745
1668,263.82,299.710554
5979,174.16656,111.4146618
2217,217.89192,240.6803781
711,408.59328,388.9309918
2891,212.38032,267.4862909
3628,167.479152,216.0602786
6450,172.32936,117.2800753
2935,210.8187,227.5982366
5800,170.12472,146.6712557
6514,202.82776,122.2726983
4007,227.8128,252.7353754
1018,435.04896,363.0797299
4383,159.46896,224.4305438
3650,170.49216,221.3301105
675,487.59288,318.5816827
1386,262.72,312.3157461
6670,184.27116,96.84900738
5679,157.26432,219.6766926
1940,448.2768,355.4706053
5958,170.12472,106.1545276
3833,175.63632,217.0252669
412,371.1144,388.8355793
3759,170.12472,193.3192359
1339,414.47232,376.8758521
6572,190.14946,144.7441735
3147,236.26392,241.9754109
